projectid,simulationid,vColumn,vRow,vLocationID,vlat,vlon,vNUTSID,vSTATE_ID,vSTATE_NAME
60654,1,394,204,60654,53.19428501,11.61628682,DE40F,DE4,Brandenburg
60655,1,394,202,60655,53.2122373,11.61738137,DE40F,DE4,Brandenburg
60656,1,409,212,60656,53.11735036,11.83571112,DE40F,DE4,Brandenburg
60657,1,409,211,60657,53.12632499,11.83630244,DE40F,DE4,Brandenburg
60658,1,409,210,60658,53.13529961,11.83689407,DE40F,DE4,Brandenburg
60659,1,409,209,60659,53.1442742,11.83748602,DE40F,DE4,Brandenburg
60660,1,409,208,60660,53.15324878,11.83807828,DE40F,DE4,Brandenburg
60661,1,409,207,60661,53.16222333,11.83867086,DE40F,DE4,Brandenburg
60662,1,409,206,60662,53.17119787,11.83926376,DE40F,DE4,Brandenburg
60663,1,423,206,60663,53.16602561,12.0483318,DE40F,DE4,Brandenburg
60664,1,422,187,60664,53.33689037,12.04549747,DE40F,DE4,Brandenburg
60665,1,423,205,60665,53.17499845,12.04896853,DE40F,DE4,Brandenburg
60666,1,426,210,60666,53.12897952,12.09054285,DE40F,DE4,Brandenburg
60667,1,417,218,60667,53.06060281,11.9513478,DE40F,DE4,Brandenburg
60668,1,417,217,60668,53.06957661,11.95196194,DE40F,DE4,Brandenburg
60669,1,417,216,60669,53.07855039,11.9525764,DE40F,DE4,Brandenburg
60670,1,417,214,60670,53.0964979,11.95380631,DE40F,DE4,Brandenburg
60671,1,417,210,60671,53.13239269,11.95627008,DE40F,DE4,Brandenburg
60672,1,417,209,60672,53.14136634,11.95688684,DE40F,DE4,Brandenburg
60673,1,417,208,60673,53.15033997,11.95750394,DE40F,DE4,Brandenburg
60674,1,417,207,60674,53.15931358,11.95812136,DE40F,DE4,Brandenburg
60675,1,417,206,60675,53.16828718,11.95873911,DE40F,DE4,Brandenburg
60676,1,417,205,60676,53.17726076,11.9593572,DE40F,DE4,Brandenburg
60677,1,422,188,60677,53.32791774,12.04485772,DE40F,DE4,Brandenburg
60678,1,422,189,60678,53.31894509,12.04421831,DE40F,DE4,Brandenburg
60679,1,422,190,60679,53.30997243,12.04357924,DE40F,DE4,Brandenburg
60680,1,417,204,60680,53.18623432,11.95997561,DE40F,DE4,Brandenburg
60681,1,444,222,60681,53.01405581,12.35062778,DE40F,DE4,Brandenburg
60682,1,394,203,60682,53.20326116,11.61683395,DE40F,DE4,Brandenburg
60683,1,423,207,60683,53.15705274,12.04769542,DE40F,DE4,Brandenburg
60684,1,423,208,60684,53.14807986,12.04705937,DE40F,DE4,Brandenburg
60685,1,394,201,60685,53.22121341,11.61792909,DE40F,DE4,Brandenburg
60686,1,394,200,60686,53.23018951,11.61847709,DE40F,DE4,Brandenburg
60687,1,417,232,60687,52.93496767,11.94278418,DE40F,DE4,Brandenburg
60688,1,417,231,60688,52.94394172,11.94339376,DE40F,DE4,Brandenburg
60689,1,438,227,60689,52.97168352,12.25799393,DE40F,DE4,Brandenburg
60690,1,438,228,60690,52.96271217,12.25731861,DE40F,DE4,Brandenburg
60691,1,417,229,60691,52.96188979,11.94461387,DE40F,DE4,Brandenburg
60692,1,438,232,60692,52.9268266,12.2546209,DE40F,DE4,Brandenburg
60693,1,438,233,60693,52.91785515,12.25394738,DE40F,DE4,Brandenburg
60694,1,417,228,60694,52.97086379,11.94522442,DE40F,DE4,Brandenburg
60695,1,417,223,60695,53.01573353,11.94828203,DE40F,DE4,Brandenburg
60696,1,417,222,60696,53.02470742,11.94889453,DE40F,DE4,Brandenburg
60697,1,417,221,60697,53.0336813,11.94950736,DE40F,DE4,Brandenburg
60698,1,417,220,60698,53.04265515,11.95012052,DE40F,DE4,Brandenburg
60699,1,426,219,60699,53.04822576,12.08475633,DE40F,DE4,Brandenburg
60700,1,421,192,60700,53.2924085,12.02732687,DE40F,DE4,Brandenburg
60701,1,426,217,60701,53.06617117,12.08603982,DE40F,DE4,Brandenburg
60702,1,444,224,60702,52.9961149,12.34923702,DE40F,DE4,Brandenburg
60703,1,444,223,60703,53.00508537,12.34993221,DE40F,DE4,Brandenburg
60704,1,375,218,60704,53.07449337,11.32544928,DE40F,DE4,Brandenburg
60705,1,426,216,60705,53.07514385,12.08668208,DE40F,DE4,Brandenburg
60706,1,426,213,60706,53.10206177,12.08861092,DE40F,DE4,Brandenburg
60707,1,426,212,60707,53.11103437,12.08925456,DE40F,DE4,Brandenburg
60708,1,403,211,60708,53.12842602,11.74677572,DE40F,DE4,Brandenburg
60709,1,441,228,60709,52.96148086,12.30189091,DE40F,DE4,Brandenburg
60710,1,426,211,60710,53.12000695,12.08989853,DE40F,DE4,Brandenburg
60711,1,417,203,60711,53.19520786,11.96059436,DE40F,DE4,Brandenburg
60712,1,440,203,60712,53.18616424,12.30417966,DE40F,DE4,Brandenburg
60713,1,440,205,60713,53.16822301,12.30279956,DE40F,DE4,Brandenburg
60714,1,431,193,60714,53.27953778,12.17639767,DE40F,DE4,Brandenburg
60715,1,431,194,60715,53.27056618,12.17573184,DE40F,DE4,Brandenburg
60716,1,423,227,60716,52.97759154,12.03503878,DE40F,DE4,Brandenburg
60717,1,423,226,60717,52.98656478,12.03566841,DE40F,DE4,Brandenburg
60718,1,423,225,60718,52.995538,12.03629838,DE40F,DE4,Brandenburg
60719,1,423,224,60719,53.0045112,12.03692868,DE40F,DE4,Brandenburg
60720,1,423,223,60720,53.01348439,12.03755932,DE40F,DE4,Brandenburg
60721,1,423,222,60721,53.02245755,12.03819029,DE40F,DE4,Brandenburg
60722,1,431,195,60722,53.26159456,12.17506636,DE40F,DE4,Brandenburg
60723,1,431,196,60723,53.25262292,12.17440125,DE40F,DE4,Brandenburg
60724,1,423,221,60724,53.03143069,12.0388216,DE40F,DE4,Brandenburg
60725,1,423,220,60725,53.04040382,12.03945325,DE40F,DE4,Brandenburg
60726,1,423,219,60726,53.04937693,12.04008524,DE40F,DE4,Brandenburg
60727,1,423,218,60727,53.05835002,12.04071756,DE40F,DE4,Brandenburg
60728,1,423,217,60728,53.06732309,12.04135022,DE40F,DE4,Brandenburg
60729,1,423,216,60729,53.07629614,12.04198322,DE40F,DE4,Brandenburg
60730,1,423,215,60730,53.08526917,12.04261655,DE40F,DE4,Brandenburg
60731,1,423,214,60731,53.09424218,12.04325022,DE40F,DE4,Brandenburg
60732,1,423,213,60732,53.10321518,12.04388423,DE40F,DE4,Brandenburg
60733,1,423,212,60733,53.11218815,12.04451858,DE40F,DE4,Brandenburg
60734,1,423,211,60734,53.12116111,12.04515327,DE40F,DE4,Brandenburg
60735,1,423,210,60735,53.13013405,12.0457883,DE40F,DE4,Brandenburg
60736,1,423,209,60736,53.13910696,12.04642367,DE40F,DE4,Brandenburg
60737,1,385,212,60737,53.12534823,11.47761402,DE40F,DE4,Brandenburg
60738,1,385,213,60738,53.11637099,11.47709743,DE40F,DE4,Brandenburg
60739,1,431,192,60739,53.28850936,12.17706385,DE40F,DE4,Brandenburg
60740,1,438,202,60740,53.19596078,12.27499453,DE40F,DE4,Brandenburg
60741,1,431,191,60741,53.29748092,12.1777304,DE40F,DE4,Brandenburg
60742,1,431,189,60742,53.31542398,12.17906455,DE40F,DE4,Brandenburg
60743,1,438,193,60743,53.27669759,12.28117054,DE40F,DE4,Brandenburg
60744,1,438,194,60744,53.26772691,12.28048284,DE40F,DE4,Brandenburg
60745,1,438,195,60745,53.25875621,12.27979552,DE40F,DE4,Brandenburg
60746,1,438,196,60746,53.2497855,12.27910856,DE40F,DE4,Brandenburg
60747,1,438,197,60747,53.24081476,12.27842197,DE40F,DE4,Brandenburg
60748,1,438,198,60748,53.23184401,12.27773575,DE40F,DE4,Brandenburg
60749,1,438,199,60749,53.22287323,12.2770499,DE40F,DE4,Brandenburg
60750,1,438,200,60750,53.21390243,12.27636441,DE40F,DE4,Brandenburg
60751,1,438,201,60751,53.20493162,12.27567929,DE40F,DE4,Brandenburg
60752,1,394,221,60752,53.04168773,11.60703021,DE40F,DE4,Brandenburg
60753,1,394,218,60753,53.06861702,11.60865763,DE40F,DE4,Brandenburg
60754,1,394,212,60754,53.12247515,11.61192029,DE40F,DE4,Brandenburg
60755,1,416,222,60755,53.02507589,11.93401076,DE40F,DE4,Brandenburg
60756,1,416,223,60756,53.01610188,11.93340133,DE40F,DE4,Brandenburg
60757,1,416,229,60757,52.96225742,11.92975162,DE40F,DE4,Brandenburg
60758,1,416,230,60758,52.95328328,11.92914447,DE40F,DE4,Brandenburg
60759,1,416,231,60759,52.94430912,11.92853764,DE40F,DE4,Brandenburg
60760,1,416,232,60760,52.93533494,11.92793113,DE40F,DE4,Brandenburg
60761,1,421,219,60761,53.05013506,12.01030282,DE40F,DE4,Brandenburg
60762,1,394,211,60762,53.13145144,11.61246509,DE40F,DE4,Brandenburg
60763,1,421,201,60763,53.21165221,12.02162486,DE40F,DE4,Brandenburg
60764,1,421,200,60764,53.22062521,12.02225706,DE40F,DE4,Brandenburg
60765,1,421,199,60765,53.22959818,12.0228896,DE40F,DE4,Brandenburg
60766,1,394,210,60766,53.14042772,11.61301018,DE40F,DE4,Brandenburg
60767,1,394,209,60767,53.14940398,11.61355555,DE40F,DE4,Brandenburg
60768,1,431,190,60768,53.30645246,12.1783973,DE40F,DE4,Brandenburg
60769,1,440,204,60769,53.17719364,12.30348943,DE40F,DE4,Brandenburg
60770,1,438,203,60770,53.18698993,12.27431014,DE40F,DE4,Brandenburg
60771,1,438,205,60771,53.16904816,12.27294246,DE40F,DE4,Brandenburg
60772,1,440,220,60772,53.03366124,12.29249565,DE40F,DE4,Brandenburg
60773,1,440,215,60773,53.07851566,12.29592113,DE40F,DE4,Brandenburg
60774,1,438,209,60774,53.13316439,12.27021148,DE40F,DE4,Brandenburg
60775,1,438,210,60775,53.1241934,12.26952964,DE40F,DE4,Brandenburg
60776,1,438,211,60776,53.11522238,12.26884817,DE40F,DE4,Brandenburg
60777,1,438,212,60777,53.10625135,12.26816707,DE40F,DE4,Brandenburg
